TICKER,CNAME,PERMNO,IssuerNm,SCORE
0000,TALMER BANCORP,14471,TALMER BANCORP INC,0
0001,EP ENGR CORP,14392,E P ENERGY CORP,0
0004,AMERICAN CAPITAL,14418,AMERICAN CAPITAL SR FLOATING LTD,0
000R,CARECOM,14378,CARE COM INC,0
000V,EIGER,14423,EIGER BIOPHARMACEUTICALS INC,0
000Y,ULTRAGENYX,14436,ULTRAGENYX PHARMACEUTICALS INC,0
000Z,BIOCEPT,14449,BIOCEPT INC,0
0011,CHC GRP,14416,C H C GROUP LTD,1
0017,AUSPEX PHARMA,14448,AUSPEX PHARMACEUTICALS INC,0
0018,EGALET,14455,EGALET CORP,0
001A,CARISMA,14452,CARISMA THERAPEUTICS INC,0
001C,ARGOS,14447,ARGOS THERAPEUTICS INC,0
001J,KNOWLES,14487,KNOWLES CORP,0
001K,IBP,14479,INSTALLED BUILDING PRODUCTS INC,1
001L,CONCERT PHARMA,14451,CONCERT PHARMACEUTICALS INC,0
001M,INOGEN,14459,INOGEN INC,0
001N,QUOTIENT TECH,14504,QUOTIENT TECHNOLOGY INC,0
001R,CSR PLC,12962,C S R PLC,0
001X,SOCIETAL CDMO,14550,RECRO PHARMA INC,1
001Z,KING DIGITAL,14524,KING DIGITAL ENTERTAINMENT PLC,0
002G,CASTLIGHT HEALTH,14502,CASTLIGHT HEALTH INC,0
002J,PAYLOCITY HLDG,14547,PAYLOCITY HOLDING CORP,0
002L,AMBER ROAD,14499,AMBER ROAD INC,0
002P,A10 NETWORKS,14495,A10 NETWORKS INC,0
002S,MOELIS,14574,MOELIS & CO,0
002T,OUTFRONT MEDIA,14503,OUTFRONT MEDIA INC,0
002U,WEIBO,14616,WEIBO CORP,0
002Y,NORD ANGLIA,14527,NORD ANGLIA EDUCATION INC,0
0031,CORIUM INTL,14594,CORIUM INTERNATIONAL INC,0
0033,OPOWER,14578,OPOWER INC,0
0039,LA QUINTA,14573,LA QUINTA HOLDINGS INC,0
003A,ADAMAS PHARMA,14589,ADAMAS PHARMACEUTICALS INC,0
003D,BLUEROCK,14500,BLUEROCK RESIDENTIAL GR REIT INC,0
003E,FARMLAND PRTNRS,14566,FARMLAND PARTNERS INC,0
003F,TRIVASCULAR TECH,14612,TRIVASCULAR TECHNOLOGIES INC,0
003G,IMMUNIC,14615,IMMUNIC INC,0
003H,PAYCOM SOFTWARE,14579,PAYCOM SOFTWARE INC,0
003J,CITY OFFICE REIT,14559,CITY OFFICE REIT INC,0
003K,PHIBRO ANIML,14603,PHIBRO ANIMAL HEALTH CORP,0
0040,LOMBARD MEDICAL,14595,LOMBARD MEDICAL INC,0
0041,SABRE,14608,SABRE CORP,0
0042,DORIAN LPG,14642,DORIAN L P G LTD,0
0044,SUNEDISON SEMI,14669,SUNEDISON SEMICONDUCTOR LTD,0
0045,PARSLEY EGY,14634,PARSLEY ENERGY INC,0
004F,ARES MANAGEMENT,14617,ARES MANAGEMENT CORP,0
004M,CHEETAH MOBILE,14618,CHEETAH MOBILE INC,0
004V,TUNIU,14676,TUNIU CORP,0
004W,ARISTA NETWORKS,14714,ARISTA NETWORKS INC,0
0051,ZENDESK,14641,ZENDESK INC,0
0055,TRUECAR,14677,TRUECAR INC,0
005H,HERITAGE INSUR,14625,HERITAGE INSURANCE HOLDINGS INC,0
005I,AGILE,14645,AGILE THERAPEUTICS INC,0
006J,MOBILEIRON,14697,MOBILEIRON INC,0
006K,ATLANTICA,14687,ATLANTICA YIELD PLC,0
006M,ASPEN AEROGELS,14715,ASPEN AEROGELS INC,0
006Q,HERMITAGE,14756,HERMITAGE OFFSHORE SERVICES LTD,0
006V,PARNELL PHARMA,14706,PARNELL PHARMACEUTICALS HLDG LTD,0
006W,CENTURY,14716,CENTURY COMMUNITIES INC,0
006X,GOPRO,14694,GOPRO INC,0
0070,RADIUS HEALTH,14707,RADIUS HEALTH INC,0
0073,TCP,14754,T C P INTERNATIONAL HOLDINGS LTD,1
0074,ADEPTUS HEALTH,14713,ADEPTUS HEALTH INC,0
0075,AMPHASTAR PHARMS,14688,AMPHASTAR PHARMACEUTICALS INC,0
0076,MATERIALISE,14705,MATERIALISE NV,0
